page_image_path,text
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_016.png,", pues no
contento de echarles vuestras di-
vinas bendiciones, les unisteis
a vuestro sagrado pecho con sua-
vissimos a"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_017.png,"brazos. Dichosa edad, 
que os merecio tan regalados cariños!
Y pues en la celestial Jeru-
salen no ha mudado de condici"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_018.png,"on
vuestra Benignidad, proseguid, 
o Niño tierno, y Dios Eterno, 
proseguid en bendecirles, y favo-
recerles. Sean tan"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_019.png,"fervorosamen-
te devotos de vuestra Admirable
MADRE, que se porten como sus
hijos, y hermanos de leche con
Vos. Seran s"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_020.png,"abios, si fueren cas-
tos; que no entra vuestra Sabi-
duria, donde no ay mucha pure-
za de conciencia. Crezcan en
vuest"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_021.png,"ro santo temor, y amor, co-
como en los años, y mucho mas. 
Adelantense en la virtud, como
en las letras, y mucho mas;"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_022.png,"has-
ta que lleguen, por vuesetra imi-
tacion, a ser varones perfectos, 
y consumados, agradables a
vuestros ojos, y pr"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_023.png,"ovechosos a
la Republica, que libra casi to-
da su felizidad en la acertada
PDF p4
crianza de la niñez. Assi sea, 
Divi"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_024.png,"nissimo Niño, por vuestra
gracia, assi sea, a vuestra ma-
yor gloria. Amen.
CENSURA DEL R. P. ANTONIO CO-
dorniu de la"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_025.png,"Compañía de jesus, Maes-
tro que fue de Theologia, Examinador
Synodal de los Obispados de Gerona, Ur-
gel, y Barcelona,"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_026.png,"Oc.
DE orden del Ilustre Señor Don Fran-
cisco Drechos, Canonigo, y Sacristan
Dignidad de la Santa Iglesia de Gerona,"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_027.png,"y
Vicario General por el Ilustrissimo Señor
D. Balthasar de Bastero y lledo, Obispo
de Gerona, del Consejo de su Magest"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_028.png,"ad, & c. 
He visto un Librito, cuyo titulo es: Ins-
truccion de Christiana, y Politica Cortesa-
nia, Oc. Su Author D. F"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_029.png,"austo Agustin de
Buendia, Colegial que fue en el Imperial
de Cordellas, &c. Y brevemente digo, 
no solo que nada contie"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_030.png,"ne contra la Fe, y 
buenas costumbres, sino que muy atento
el Author con entrambas, describe, y en-
seña tan culta, y d"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_031.png,"iscreta la Virtud, co-
mo santa la Policia, y Urbanidad. Los
Señoritos, que se criaren con estos do-
cumentos, merecera"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_032.png,"n, quando hombres, 
aver nacido Señores. Porque no solo sa-
bran ser Caballeros, sino tambien a lo"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_000.png,"NOTES:		u an"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_001.png,d v are used
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_002.png,interchange
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_003.png,"ably 	check"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_004.png,against dict
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_005.png,"ionary?
		f"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_006.png,and s are us
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_007.png,ed interchan
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_008.png,"geably 	chec"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_009.png,k against di
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_010.png,ctionary?
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_011.png,accents are
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_012.png,inconsistent
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_013.png,should be
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_014.png,ignored (ex
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_015.png,"cept ñ)
		so"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_016.png,me letters h
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_017.png,ave horizont
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_018.png,"al “cap”	ten"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_019.png,ds to mean n
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_020.png,"follows, or"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_021.png,ue after ca
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_022.png,"pped q
		som"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_023.png,e line end h
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_024.png,yphens not p
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_025.png,"resent	leave"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_026.png,words split
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_027.png,"for now, ca"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_028.png,n decide lat
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_029.png,"er
		ç old s"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_030.png,pelling is a
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_031.png,lways modern
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_032.png,"z	teach AI"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_033.png,to always in
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_034.png,terpret ç as
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_035.png,"z
PDF p7
CE"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_036.png,"NSURA DE
PED"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_037.png,RO DE VALENC
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_038.png,IA CORONISTA
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_039.png,General de
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_040.png,el Rey nuest
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_041.png,"ro
Señor.
PO"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_042.png,r mandado de
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_043.png,l Consejo Su
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_044.png,premo de Cas
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_045.png,"tilla, he vi"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_046.png,sto el libro
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_047.png,"in-
titulad"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_048.png,"o, Tesoro de"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_049.png,la lengua C
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_050.png,"astellana, q"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_051.png,ue compuso e
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_052.png,"l Licen-
cia"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_053.png,do Don Sebas
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_054.png,tian de Cova
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_055.png,rruvias y Or
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_056.png,"ozco, Canoni"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_057.png,"go, y Maesse"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_058.png,"s-
cuela de"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_059.png,la Iglesia d
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_060.png,"e Cuenca, Co"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_061.png,nsultor de e
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_062.png,l Santo Ofic
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_063.png,io de la Inq
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_064.png,"uisi-
cion,"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_065.png,y Capellan d
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_066.png,e su Magesta
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_067.png,"d, y no he a"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_068.png,llado en el
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_069.png,cosa contrar
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_070.png,"ia a
la Fe,"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_071.png,ni a las bue
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_072.png,nas costumbr
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_073.png,es; antes ti
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_074.png,ene muchas m
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_075.png,"uy utiles, y"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_076.png,"esta lle-
n"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_077.png,"o de varia,"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_078.png,y curiosa le
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_079.png,"ccion, y doc"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_080.png,trina. Por l
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_081.png,"o qual, y po"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_082.png,r la autorid
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_083.png,"ad, 
y erudi"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_084.png,cion de la p
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_085.png,ersona del A
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_086.png,"utor, tan co"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_087.png,"nocida, y es"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_088.png,timada en to
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_089.png,"das par-
tes"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_090.png,", y porque d"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_091.png,e materia se
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_092.png,mejante han
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_093.png,escrito en c
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_094.png,"ada lengua,"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_095.png,"y nacion
pol"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_096.png,"itica, varon"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_097.png,es muy grave
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_098.png,"s, y doctos,"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_099.png,y por ser c
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_100.png,onveniente q
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_101.png,"ue de la
pro"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_102.png,"piedad, pure"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_103.png,"za, y elegan"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_104.png,cia de una l
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_105.png,engua se esc
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_106.png,riva en el t
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_107.png,"iempo que
el"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_108.png,la mas flore
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_109.png,"ce, me parec"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_110.png,e se debe da
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_111.png,r la licenci
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_112.png,"a, y privile"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_113.png,gio que se p
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_114.png,"ide pa-
ra i"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_115.png,mprimirlo. E
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_116.png,n Madrid a t
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_117.png,res dias del
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_118.png,mes de Mayo
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_119.png,"de 1610.
Pe"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_120.png,dro de Valen
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_121.png,"cia
PDF p8
C"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_122.png,"ARTA DE EL
L"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_123.png,ICENCIADO DO
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_124.png,"N BALTASAR
S"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_125.png,EBASTIAN NAV
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_126.png,ARRO DE ARRO
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_127.png,"YTA, COLEGIA"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_128.png,"L DEL
Colegi"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_129.png,o de San Sal
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_130.png,vador de Ovi
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_131.png,"edo, el mayo"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_132.png,r de Salaman
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_133.png,"ca, Sacrista"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_134.png,"n
mayor, y C"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_135.png,anonigo de l
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_136.png,a santa Cate
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_137.png,dral Iglesia
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_138.png,de la Ciuda
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_139.png,"d de Teruel,"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_140.png,"al Autor
de"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_141.png,"ste libro.
Q"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_142.png,UANDO En Mad
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_143.png,rid bese a v
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_144.png,. m. las man
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_145.png,"os, demas de"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_146.png,l contento q
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_147.png,ue siempre r
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_148.png,"ecibo
de haz"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_149.png,"erlo, y de c"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_150.png,umplir con l
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_151.png,as obligacio
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_152.png,nes generale
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_153.png,"s, y particu"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_154.png,"lares, que a"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_155.png,"la per-
son"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_156.png,ade v. m. te
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_157.png,ngo ver me h
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_158.png,olgue grande
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_159.png,"mente de, la"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_160.png,primera par
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_161.png,te del libro
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_162.png,q v. m. ha
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_163.png,tantos años
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_164.png,"que trabaja,"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_165.png,y ha comenz
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_166.png,ado a imprim
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_167.png,ir: porque t
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_168.png,eniendo yo o
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_169.png,"pinion de 
q"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_170.png,ue desta obr
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_171.png,a se ha de s
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_172.png,eguir gran u
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_173.png,"tilidad, y h"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_174.png,onor a la na
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_175.png,cion Español
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_176.png,"a, estoy muy"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_177.png,contento de
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_178.png,que esto pr
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_179.png,oceda de per
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_180.png,sona que tan
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_181.png,"to me toca,"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_182.png,peus es noto
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_183.png,rio el Deudo
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_184.png,que v. m. t
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_185.png,iene con la
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_186.png,"an-
tigua, y"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_187.png,noble casa
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_188.png,"de Valero, d"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_189.png,e donde yo t
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_190.png,engo la dece
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_191.png,"ndencia, y e"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_192.png,s tambien no
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_193.png,torio ser v.
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_194.png,"m. 
sobrino"
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_195.png,de los dos
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_196.png,mas insignes
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_197.png,varones que
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_198.png,ha tenido n
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_199.png,uestro siglo
data\printed_pages\Covarrubias - Tesoro lengua\Covarrubias - Tesoro lengua_page_200.png,"en letras,"
